epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4698.37,2.33968,2.02369,2.37811,0.65277,0.8228,0.74353,0.49256,2.50578,1.68775,2.57879,0.000328581,0.000328581,0.000328581
43,4808.94,2.34634,2.02279,2.38114,0.62078,0.82594,0.73365,0.48352,2.52552,1.69695,2.59428,0.000320327,0.000320327,0.000320327
44,4920.25,2.3268,2.01366,2.37994,0.6205,0.85304,0.74398,0.48831,2.48115,1.70506,2.55252,0.000312073,0.000312073,0.000312073
45,5031.42,2.30064,1.99391,2.36135,0.63207,0.82927,0.73452,0.47971,2.48646,1.70231,2.57407,0.000303818,0.000303818,0.000303818
46,5142.98,2.30124,1.99035,2.36208,0.6518,0.82565,0.73804,0.48698,2.49988,1.69756,2.571,0.000295564,0.000295564,0.000295564
47,5254.19,2.29148,1.96638,2.34726,0.63707,0.85366,0.7403,0.49206,2.47885,1.67088,2.55713,0.00028731,0.00028731,0.00028731
48,5365.34,2.28615,1.97822,2.35304,0.66495,0.82863,0.74408,0.48554,2.50545,1.68964,2.58696,0.000279056,0.000279056,0.000279056
49,5475.04,2.27748,1.9671,2.34173,0.67068,0.79496,0.7478,0.49264,2.48996,1.69165,2.57489,0.000270802,0.000270802,0.000270802
50,5585.38,2.2713,1.97958,2.3446,0.65189,0.83703,0.7497,0.4882,2.48632,1.68097,2.58632,0.000262548,0.000262548,0.000262548
51,5696.81,2.2415,1.95283,2.3413,0.67477,0.84048,0.7413,0.48738,2.46833,1.66244,2.56107,0.000254294,0.000254294,0.000254294
52,5808.13,2.24263,1.92452,2.32961,0.61592,0.86457,0.74598,0.49136,2.48277,1.66708,2.5753,0.00024604,0.00024604,0.00024604
53,5919.4,2.27585,1.94672,2.34671,0.62739,0.84407,0.73672,0.49172,2.45714,1.65228,2.56193,0.000237785,0.000237785,0.000237785
54,6030.3,2.25216,1.92183,2.33904,0.65843,0.81981,0.74744,0.49308,2.46336,1.6526,2.55105,0.000229531,0.000229531,0.000229531
55,6140.89,2.20824,1.91873,2.32326,0.65558,0.84177,0.75076,0.50175,2.44901,1.63454,2.55021,0.000221277,0.000221277,0.000221277
56,6252.37,2.22024,1.88972,2.3262,0.63936,0.84226,0.73155,0.48164,2.47578,1.65151,2.56174,0.000213023,0.000213023,0.000213023
57,6363.39,2.22469,1.89755,2.3167,0.65222,0.82428,0.75277,0.49646,2.47517,1.65245,2.56481,0.000204769,0.000204769,0.000204769
58,6474.08,2.20945,1.90173,2.3116,0.6296,0.87982,0.74798,0.49729,2.46539,1.66058,2.5627,0.000196515,0.000196515,0.000196515
59,6583.65,2.19351,1.87977,2.31905,0.66144,0.83298,0.7441,0.49257,2.45615,1.62859,2.5584,0.000188261,0.000188261,0.000188261
60,6694.47,2.16264,1.85567,2.29295,0.63337,0.86074,0.75181,0.49782,2.45658,1.60796,2.55852,0.000180007,0.000180007,0.000180007
61,6805.66,2.16463,1.86101,2.28576,0.64267,0.85603,0.7524,0.49677,2.47165,1.61889,2.55816,0.000171752,0.000171752,0.000171752
62,6916.99,2.17443,1.84034,2.29632,0.67311,0.84078,0.7591,0.50555,2.46744,1.63223,2.56811,0.000163498,0.000163498,0.000163498
63,7028.04,2.1499,1.86131,2.30336,0.64483,0.8585,0.7553,0.50127,2.45121,1.62496,2.55144,0.000155244,0.000155244,0.000155244
64,7138.82,2.12999,1.83541,2.27651,0.65594,0.85778,0.75774,0.50601,2.45089,1.60919,2.55213,0.00014699,0.00014699,0.00014699
65,7248.88,2.12797,1.80071,2.26006,0.67987,0.82747,0.7514,0.50348,2.44592,1.62896,2.54783,0.000138736,0.000138736,0.000138736
66,7359.83,2.1281,1.81684,2.27907,0.63628,0.85491,0.75346,0.50717,2.44234,1.62634,2.54416,0.000130482,0.000130482,0.000130482
67,7471.11,2.13384,1.80184,2.27877,0.65613,0.85213,0.74893,0.50311,2.41587,1.62323,2.5401,0.000122228,0.000122228,0.000122228
68,7581.82,2.12397,1.79765,2.28192,0.66367,0.81946,0.75009,0.49958,2.44888,1.63093,2.56392,0.000113974,0.000113974,0.000113974
69,7691.64,2.11201,1.80773,2.26393,0.65119,0.84048,0.74824,0.49897,2.44406,1.61406,2.5542,0.00010572,0.00010572,0.00010572
70,7802.67,2.07823,1.78481,2.24696,0.6559,0.85937,0.75628,0.50708,2.4434,1.60046,2.55682,9.74654e-05,9.74654e-05,9.74654e-05
71,7912.79,2.00773,1.56099,2.28438,0.66782,0.85168,0.75906,0.5067,2.45846,1.59773,2.57547,8.92113e-05,8.92113e-05,8.92113e-05
72,8019.03,1.9664,1.5315,2.26576,0.66073,0.83799,0.74984,0.50285,2.45729,1.60322,2.55925,8.09571e-05,8.09571e-05,8.09571e-05
73,8125.91,1.97127,1.51969,2.26772,0.64645,0.85588,0.7517,0.50118,2.44224,1.61265,2.55553,7.2703e-05,7.2703e-05,7.2703e-05
74,8231.26,1.95468,1.52053,2.25285,0.67777,0.84553,0.75458,0.50358,2.43344,1.60489,2.55106,6.44489e-05,6.44489e-05,6.44489e-05
75,8338.13,1.93038,1.50395,2.24518,0.64152,0.86551,0.75484,0.50275,2.45005,1.60534,2.56319,5.61947e-05,5.61947e-05,5.61947e-05
76,8443.48,1.92263,1.50724,2.24396,0.64963,0.84887,0.75327,0.50294,2.44623,1.60514,2.56283,4.79406e-05,4.79406e-05,4.79406e-05
77,8550.38,1.90155,1.48223,2.22147,0.65179,0.83611,0.75585,0.5067,2.43171,1.60814,2.55449,3.96865e-05,3.96865e-05,3.96865e-05
78,8655.2,1.89852,1.48347,2.22513,0.65047,0.84132,0.75203,0.50443,2.44104,1.60898,2.55963,3.14324e-05,3.14324e-05,3.14324e-05
79,8762.59,1.89165,1.48518,2.21186,0.653,0.83145,0.75308,0.50423,2.43806,1.60921,2.56208,2.31783e-05,2.31783e-05,2.31783e-05
80,8868.33,1.88358,1.47965,2.21313,0.65471,0.83369,0.75505,0.50825,2.43562,1.61028,2.5605,1.49241e-05,1.49241e-05,1.49241e-05
